date,visitor_arrivals
2003-01-01,450847
2003-02-01,394869
2003-03-01,456614
2003-04-01,354054
2003-05-01,288562
2003-06-01,352431
2003-07-01,515692
2003-08-01,550380
2003-09-01,457574
2003-10-01,527859
2003-11-01,444435
2003-12-01,418408
2004-01-01,538334
2004-02-01,417519
2004-03-01,488778
2004-04-01,546662
2004-05-01,500830
2004-06-01,505003
2004-07-01,610190
2004-08-01,567869
2004-09-01,481570
2004-10-01,539353
2004-11-01,486403
2004-12-01,455394
2005-01-01,516280
2005-02-01,519460
2005-03-01,557640
2005-04-01,584406
2005-05-01,530752
2005-06-01,551134
2005-07-01,669172
2005-08-01,618655
2005-09-01,540462
2005-10-01,599539
2005-11-01,526229
2005-12-01,514197
2006-01-01,613596
2006-02-01,513906
2006-03-01,579197
2006-04-01,672319
2006-05-01,586326
2006-06-01,557600
2006-07-01,701527
2006-08-01,655488
2006-09-01,573627
2006-10-01,699605
2006-11-01,595069
2006-12-01,585817
2007-01-01,617885
2007-02-01,631278
2007-03-01,684654
2007-04-01,714014
2007-05-01,664489
2007-06-01,631874
2007-07-01,807737
2007-08-01,757473
2007-09-01,689183
2007-10-01,785207
2007-11-01,686747
2007-12-01,676428
2008-01-01,711350
2008-02-01,696326
2008-03-01,731619
2008-04-01,779909
2008-05-01,736122
2008-06-01,681563
2008-07-01,825012
2008-08-01,742022
2008-09-01,641235
2008-10-01,738832
2008-11-01,553491
2008-12-01,513354
2009-01-01,580673
2009-02-01,408628
2009-03-01,568586
2009-04-01,626313
2009-05-01,485713
2009-06-01,424427
2009-07-01,632722
2009-08-01,679586
2009-09-01,535544
2009-10-01,655481
2009-11-01,565089
2009-12-01,626896
2010-01-01,640346
2010-02-01,664982
2010-03-01,709684
2010-04-01,788212
2010-05-01,721348
2010-06-01,677064
2010-07-01,878582
2010-08-01,802725
2010-09-01,717756
2010-10-01,727278
2010-11-01,634818
2010-12-01,648380
2011-01-01,714099
2011-02-01,679393
2011-03-01,352676
2011-04-01,295826
2011-05-01,357783
2011-06-01,432883
2011-07-01,561489
2011-08-01,546503
2011-09-01,538727
2011-10-01,615701
2011-11-01,551571
2011-12-01,572101
2012-01-01,681786
2012-02-01,546451
2012-03-01,676662
2012-04-01,779481
2012-05-01,667046
2012-06-01,682932
2012-07-01,847194
2012-08-01,774239
2012-09-01,658239
2012-10-01,705848
2012-11-01,648548
2012-12-01,689679
2013-01-01,668610
2013-02-01,729460
2013-03-01,857024
2013-04-01,923017
2013-05-01,875408
2013-06-01,901066
2013-07-01,1003032
2013-08-01,906379
2013-09-01,866966
2013-10-01,928560
2013-11-01,839891
2013-12-01,864491
2014-01-01,944009
2014-02-01,880020
2014-03-01,1050559
2014-04-01,1231471
2014-05-01,1097211
2014-06-01,1055273
2014-07-01,1270048
2014-08-01,1109569
2014-09-01,1099102
2014-10-01,1271705
2014-11-01,1168427
2014-12-01,1236073
2015-01-01,1218393
2015-02-01,1386982
2015-03-01,1525879
2015-04-01,1764691
2015-05-01,1641734
2015-06-01,1602198
2015-07-01,1918356
2015-08-01,1817023
2015-09-01,1612208
2015-10-01,1829265
2015-11-01,1647550
2015-12-01,1773130
2016-01-01,1851895
2016-02-01,1891375
2016-03-01,2009550
2016-04-01,2081697
2016-05-01,1893574
2016-06-01,1985722
2016-07-01,2296451
2016-08-01,2049234
2016-09-01,1918246
2016-10-01,2135904
2016-11-01,1875404
2016-12-01,2050648
2017-01-01,2295668
2017-02-01,2035771
2017-03-01,2205664
2017-04-01,2578970
2017-05-01,2294717
2017-06-01,2346442
2017-07-01,2681518
2017-08-01,2477428
2017-09-01,2280406
2017-10-01,2595148
2017-11-01,2378079
2017-12-01,2521262
2018-01-01,2501409
2018-02-01,2509297
2018-03-01,2607956
2018-04-01,2900718
2018-05-01,2675052
2018-06-01,2704631
2018-07-01,2832040
2018-08-01,2578021
2018-09-01,2159595
2018-10-01,2640610
2018-11-01,2450751
2018-12-01,2631776
2019-01-01,2689339
2019-02-01,2604322
2019-03-01,2760136
2019-04-01,2926685
2019-05-01,2773091
2019-06-01,2880041
2019-07-01,2991189
2019-08-01,2520134
2019-09-01,2272883
2019-10-01,2496568
2019-11-01,2441274
2019-12-01,2526387
2020-01-01,2661022
2020-02-01,1085147
2020-03-01,193658
2020-04-01,2917
2020-05-01,1663
2020-06-01,2565
2020-07-01,3782
2020-08-01,8658
2020-09-01,13684
2020-10-01,27386
2020-11-01,56673
2020-12-01,58673
2021-01-01,46522
2021-02-01,7355
2021-03-01,12276
2021-04-01,10853
2021-05-01,10035
2021-06-01,9251
2021-07-01,51055
2021-08-01,25916
2021-09-01,17720
2021-10-01,22113
2021-11-01,20682
2021-12-01,12084
2022-01-01,17766
2022-02-01,16719
2022-03-01,66121
2022-04-01,139548
2022-05-01,147046
2022-06-01,120430
2022-07-01,144578
2022-08-01,169902
2022-09-01,206641
2022-10-01,498646
2022-11-01,934599
2022-12-01,1370114
2023-01-01,1497472
2023-02-01,1475455
2023-03-01,1817616
2023-04-01,1949236
2023-05-01,1899176
2023-06-01,2073441
2023-07-01,2320694
2023-08-01,2157190
2023-09-01,2184442
2023-10-01,2516623
2023-11-01,2440890
2023-12-01,2734115
2024-01-01,2688478
2024-02-01,2788224
2024-03-01,3081781
2024-04-01,3043003
2024-05-01,3040294
2024-06-01,3140642
2024-07-01,3292602
2024-08-01,2933381
2024-09-01,2872487
2024-10-01,3312193
2024-11-01,3187175
2024-12-01,3489888
2025-01-01,3781629
2025-02-01,3258491
2025-03-01,3497755
2025-04-01,3909128
2025-05-01,3693587
2025-06-01,3377985
2025-07-01,3437118
2025-08-01,3428406
2025-09-01,3267228
2025-10-01,3896524
2025-11-01,3518195
2025-12-01,3617791
2026-01-01,3597500
2026-02-01,3466700
